Event,Time,Cell,Notes
Death,273.2728691837496,0efdfc90-e2f3-11ed-08f4-73b6320c519b,UndefInitializer()
Death,274.7548128920213,0efd3940-e2f3-11ed-1f54-910f795b6e51,UndefInitializer()
Duplicate,276.5830667339026,0efe4ab0-e2f3-11ed-1ef6-89b2cf62351c,"Base.UUID[UUID(""0efdfc90-e2f3-11ed-3abc-459121f3d3fe"")]"
Duplicate,276.5830667339026,0efe4ab0-e2f3-11ed-0245-9b8a048ea8cf,"Base.UUID[UUID(""0efdfc90-e2f3-11ed-3abc-459121f3d3fe"")]"
Duplicate,278.2791633115244,0efe4ab0-e2f3-11ed-0a41-076968506953,"Base.UUID[UUID(""0efd3940-e2f3-11ed-3034-71cbd5a13d8e"")]"
Duplicate,278.2791633115244,0efe4ab0-e2f3-11ed-0587-a5451839eb4e,"Base.UUID[UUID(""0efd3940-e2f3-11ed-3034-71cbd5a13d8e"")]"
Death,288.4174394638618,0efdfc90-e2f3-11ed-0f76-b72b64978d9c,UndefInitializer()
Duplicate,288.9313147024822,0efe71c0-e2f3-11ed-3f68-97492470c6c8,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-1ef6-89b2cf62351c"")]"
Duplicate,288.9313147024822,0efe71c0-e2f3-11ed-3e91-559822e86ee5,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-1ef6-89b2cf62351c"")]"
Death,292.7386968893735,0efd1230-e2f3-11ed-14c0-dfbd4e4ca165,UndefInitializer()
Death,295.99599443855,0efe71c0-e2f3-11ed-3f68-97492470c6c8,UndefInitializer()
Duplicate,301.79608585431936,0efe98ce-e2f3-11ed-0eeb-4547f7279303,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-0245-9b8a048ea8cf"")]"
Duplicate,301.79608585431936,0efe98ce-e2f3-11ed-0203-6376864d5495,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-0245-9b8a048ea8cf"")]"
Duplicate,304.4138556440348,0efebfe0-e2f3-11ed-333a-4d37510a8bea,"Base.UUID[UUID(""0efe98ce-e2f3-11ed-0203-6376864d5495"")]"
Duplicate,304.4138556440348,0efebfe0-e2f3-11ed-0b82-d52620818061,"Base.UUID[UUID(""0efe98ce-e2f3-11ed-0203-6376864d5495"")]"
Duplicate,312.0496505580677,0efebfe0-e2f3-11ed-1a38-9dfd8675484f,"Base.UUID[UUID(""0efe71c0-e2f3-11ed-3e91-559822e86ee5"")]"
Duplicate,312.0496505580677,0efebfe0-e2f3-11ed-1b19-21f4913abaa8,"Base.UUID[UUID(""0efe71c0-e2f3-11ed-3e91-559822e86ee5"")]"
Death,316.9530152171493,0efebfe0-e2f3-11ed-0b82-d52620818061,UndefInitializer()
Death,321.97872803127666,0efebfe0-e2f3-11ed-1b19-21f4913abaa8,UndefInitializer()
Death,322.49150863175146,0efebfe0-e2f3-11ed-1a38-9dfd8675484f,UndefInitializer()
Death,322.9819663471114,0efc9cfe-e2f3-11ed-340e-1b595e55cca0,UndefInitializer()
Death,324.13328488657964,0efe98ce-e2f3-11ed-0eeb-4547f7279303,UndefInitializer()
Duplicate,325.87823237260716,0eff0e00-e2f3-11ed-0965-15a2b61e989e,"Base.UUID[UUID(""0efcc410-e2f3-11ed-14fb-b3f78ea86525"")]"
Duplicate,325.87823237260716,0eff0e00-e2f3-11ed-25ff-6dc027e7a7c9,"Base.UUID[UUID(""0efcc410-e2f3-11ed-14fb-b3f78ea86525"")]"
Death,326.0226973795806,0ed3df50-e2f3-11ed-2211-e360c6a1a1b0,UndefInitializer()
Duplicate,330.50678255815643,0eff0e00-e2f3-11ed-0b0f-51d2ec2f7b8f,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-0587-a5451839eb4e"")]"
Duplicate,330.50678255815643,0eff0e00-e2f3-11ed-3fcc-cd870653b096,"Base.UUID[UUID(""0efe4ab0-e2f3-11ed-0587-a5451839eb4e"")]"
Duplicate,337.2089331956957,0eff3510-e2f3-11ed-15fd-13de4360dffc,"Base.UUID[UUID(""0eff0e00-e2f3-11ed-0b0f-51d2ec2f7b8f"")]"
Duplicate,337.2089331956957,0eff3510-e2f3-11ed-0f99-c38269efa524,"Base.UUID[UUID(""0eff0e00-e2f3-11ed-0b0f-51d2ec2f7b8f"")]"
Duplicate,338.68436388108734,0eff3510-e2f3-11ed-03f0-13e61b23f7e1,"Base.UUID[UUID(""0eff0e00-e2f3-11ed-25ff-6dc027e7a7c9"")]"
Duplicate,338.68436388108734,0eff3510-e2f3-11ed-2e63-cb805de71f66,"Base.UUID[UUID(""0eff0e00-e2f3-11ed-25ff-6dc027e7a7c9"")]"
Duplicate,338.7147121693691,0eff3510-e2f3-11ed-1846-6bbe38b3bbb2,"Base.UUID[UUID(""0efebfe0-e2f3-11ed-333a-4d37510a8bea"")]"
Duplicate,338.7147121693691,0eff3510-e2f3-11ed-136a-fb5d220f7a6b,"Base.UUID[UUID(""0efebfe0-e2f3-11ed-333a-4d37510a8bea"")]"
Duplicate,346.51998510449187,0eff5c20-e2f3-11ed-0f4a-75c1ec2d1b5e,"Base.UUID[UUID(""0eff3510-e2f3-11ed-1846-6bbe38b3bbb2"")]"
Duplicate,346.51998510449187,0eff5c20-e2f3-11ed-089a-ef072a67f4ea,"Base.UUID[UUID(""0eff3510-e2f3-11ed-1846-6bbe38b3bbb2"")]"
Death,351.12636330599776,0eff5c20-e2f3-11ed-0f4a-75c1ec2d1b5e,UndefInitializer()
Duplicate,353.2375566726952,0eff8330-e2f3-11ed-0437-1f745d1516f0,"Base.UUID[UUID(""0eff3510-e2f3-11ed-136a-fb5d220f7a6b"")]"
Duplicate,353.2375566726952,0eff8330-e2f3-11ed-0211-c1d714d52e5e,"Base.UUID[UUID(""0eff3510-e2f3-11ed-136a-fb5d220f7a6b"")]"
Death,354.29984887636294,0eff8330-e2f3-11ed-0211-c1d714d52e5e,UndefInitializer()
Duplicate,356.69689892346406,0eff8330-e2f3-11ed-1581-138e29fde89b,"Base.UUID[UUID(""0eff5c20-e2f3-11ed-089a-ef072a67f4ea"")]"
Duplicate,356.69689892346406,0eff8330-e2f3-11ed-1fd7-9de46bd6289c,"Base.UUID[UUID(""0eff5c20-e2f3-11ed-089a-ef072a67f4ea"")]"
Death,370.3862386571531,0eff3510-e2f3-11ed-15fd-13de4360dffc,UndefInitializer()
Duplicate,370.3886245176574,0effaa42-e2f3-11ed-08c9-f9986b1b3bee,"Base.UUID[UUID(""0eff8330-e2f3-11ed-0437-1f745d1516f0"")]"
